n	cats	val_categorical_accuracy
9	eps,gif,kmz,java,png,dwf,pps,wp,pdf	0.5907143
10	ps,ppt,png,gif,pptx,csv,sql,hlp,kmz,gz	0.61785716
11	swf,doc,f,pps,wp,dwf,gif,jpg,sql,dbase3,kml	0.63214284
12	ppt,png,dbase3,gif,xls,dwf,xml,kml,ps,doc,pdf,f	0.6342857
13	pps,doc,pptx,gif,kmz,gz,txt,jpg,dbase3,ps,ppt,rtf,wp	0.5782143
14	gif,ps,pps,swf,csv,wp,xls,rtf,hlp,jpg,log,dbase3,pdf,xml	0.7196429
15	xml,dbase3,xls,csv,kml,eps,log,f,kmz,pps,gif,gz,html,ps,dwf	0.69357145
16	hlp,wp,dwf,doc,pps,f,ppt,gif,csv,kmz,html,gz,dbase3,ps,rtf,kml	0.66071427
17	csv,f,dbase3,xls,ppt,kmz,ps,html,pptx,eps,gif,rtf,doc,java,xml,swf,kml	0.6975
18	png,wp,pdf,dwf,ps,java,hlp,dbase3,f,gz,jpg,txt,log,pps,csv,xls,swf,kml	0.5910714
19	pptx,gif,swf,rtf,dbase3,eps,pps,csv,kmz,hlp,wp,dwf,txt,ps,gz,java,ppt,log,kml	0.57035714
20	pps,gif,rtf,doc,csv,gz,wp,xml,dbase3,kml,eps,log,html,ps,kmz,ppt,sql,swf,pdf,dwf	0.61535716
21	swf,rtf,png,ps,wp,doc,ppt,log,xls,pdf,sql,txt,gz,kmz,dbase3,hlp,pptx,eps,java,html,dwf	0.575
22	kmz,kml,java,f,png,ppt,sql,xml,txt,xls,ps,wp,csv,dwf,pdf,eps,log,rtf,pptx,swf,gif,jpg	0.58678573
23	csv,xls,pps,pdf,wp,doc,kml,gif,sql,swf,gz,hlp,dwf,java,log,ps,txt,eps,pptx,png,kmz,jpg,dbase3	0.5228571
24	txt,doc,kmz,gif,dbase3,pps,wp,swf,rtf,csv,dwf,jpg,pptx,kml,ppt,png,f,html,log,hlp,xml,eps,java,sql	0.5996429
25	pdf,f,hlp,java,ps,sql,gif,eps,swf,kml,csv,dwf,pps,rtf,gz,log,xls,pptx,kmz,doc,txt,wp,png,xml,ppt	0.5325
26	pdf,kml,ppt,pptx,xls,jpg,dwf,csv,rtf,gif,xml,swf,wp,dbase3,ps,sql,log,java,gz,html,kmz,png,hlp,eps,pps,txt	0.53892857
27	doc,kmz,sql,java,png,pdf,xls,swf,pps,kml,jpg,rtf,dbase3,gz,pptx,eps,f,html,csv,ps,gif,txt,hlp,dwf,xml,wp,log	0.54071426
28	wp,pps,kmz,html,doc,f,ppt,swf,dwf,hlp,png,dbase3,kml,log,eps,jpg,pdf,xls,gif,gz,java,ps,xml,rtf,txt,pptx,csv,sql	0.5264286
